id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
320,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,8:45,10h 15m,676,18,1.805804431,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
321,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,1900,3,1.185269803,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
322,Amrutyog Travels,A/C Sleeper (2+1),19:00,6:22,11h 22m,1499,3,5.957855188,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
323,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,7:45,09h 15m,1499,2,2.740371714,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
324,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:00,8:55,10h 55m,1642,7,2.513058859,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
325,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,6:30,10h 00m,1648,6,3.674861028,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
326,Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo AC Seater Pushback 2+2,17:05,6:00,12h 55m,800,14,3.858890105,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
327,Zingbus Plus,VE A/C Sleeper (2+1),21:25,14:00,16h 35m,611,7,4.872462777,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
328,Mascot Travels(M.Dev),A/C Sleeper (2+1),19:00,12:00,17h 00m,569,17,4.237845969,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
329,AdDolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:55,8:00,16h 05m,710,15,2.693939808,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
330,Konkan Travels National,NON A/C Sleeper (2+1),19:25,9:45,14h 20m,462,15,1.495604882,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa
331,Streamline tours and travels,A/C Sleeper (2+1),22:20,11:15,12h 55m,1270,20,5.343215021,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
332,Streamline tours and travels,A/C Sleeper (2+1),21:00,10:00,13h 00m,1270,19,4.77176731,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
333,IntrCity SmartBus,AC Sleeper (2+1),20:30,10:40,14h 10m,1334,13,4.437674554,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
334,Jolly Tours and Travels,A/C Sleeper (2+1),21:00,9:00,12h 00m,1100,8,1.188107706,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
335,Intercity travels,Bharat Benz A/C Sleeper (2+1),21:00,10:15,13h 15m,1499,6,4.929467816,https://www.redbus.in/bus-tickets/bangalore-to-goa,Bangalore to Goa
336,Shanta Travels,NON A/C Sleeper (2+1),17:30,8:45,15h 15m,860,15,2.273772688,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
337,Streamline tours and travels,A/C Sleeper (2+1),18:00,6:30,12h 30m,999,11,4.929703785,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
338,Intercity travels,Bharat Benz A/C Sleeper (2+1),18:00,7:15,13h 15m,1099,8,1.037141978,https://www.redbus.in/bus-tickets/goa-to-bangalore,Goa to Bangalore
